# foF2 climatology grid, MHz.
#
# GENERATED by src/bin/gen_fof2_grid.rs from fof2::climatology_fof2. Do not edit by
# hand: the test fof2::tests::bundled_grid_matches_its_generator compares the two.
#
# THESE ARE NOT CCIR, URSI OR IRI COEFFICIENTS. The layout follows the operational
# maps (latitude x local solar time, per season, at two solar-activity levels
# interpolated in NmF2) so that real coefficient data drops in as a file
# replacement, but the values are an order-of-magnitude climatology calibrated only
# to fof2::fof2_from_ssn. See the provenance section of fof2's module docs.
#
# Columns: season, ssn, latitude_deg, then foF2 at local solar time
# 0, 1, ... 23 h. Season is the LOCAL season (already hemisphere-flipped by the
# caller), so a row's latitude sign carries no seasonal meaning.
# Lattice: 37 latitude rows from -90 deg at 5 deg, 24 local-time columns at 1 h (periodic).
winter	0	-90	2.0135	1.9295	1.8913	1.8910	1.9281	2.0094	2.1473	2.3561	2.6451	3.0111	3.4327	3.8711	4.2746	4.5884	4.7657	4.7786	4.6243	4.3264	3.9291	3.4874	3.0556	2.6765	2.3751	2.1570
winter	0	-85	2.0227	1.9377	1.8990	1.8988	1.9367	2.0194	2.1591	2.3699	2.6607	3.0280	3.4502	3.8884	4.2912	4.6040	4.7805	4.7929	4.6386	4.3409	3.9439	3.5023	3.0700	2.6900	2.3872	2.1676
winter	0	-80	2.0405	1.9536	1.9141	1.9143	1.9536	2.0388	2.1820	2.3966	2.6911	3.0608	3.4841	3.9219	4.3232	4.6342	4.8091	4.8205	4.6661	4.3689	3.9725	3.5310	3.0980	2.7161	2.4106	2.1881
winter	0	-75	2.0739	1.9836	1.9426	1.9433	1.9854	2.0753	2.2248	2.4464	2.7471	3.1213	3.5464	3.9835	4.3821	4.6896	4.8615	4.8712	4.7166	4.4203	4.0250	3.5838	3.1495	2.7644	2.4542	2.2263
winter	0	-70	2.1313	2.0355	1.9921	1.9939	2.0405	2.1382	2.2981	2.5310	2.8419	3.2231	3.6509	4.0865	4.4805	4.7823	4.9491	4.9559	4.8009	4.5062	4.1129	3.6724	3.2361	2.8458	2.5280	2.2915
winter	0	-65	2.2170	2.1136	2.0669	2.0703	2.1235	2.2324	2.4067	2.6553	2.9799	3.3704	3.8016	4.2346	4.6218	4.9151	5.0747	5.0773	4.9219	4.6294	4.2391	3.7998	3.3611	2.9642	2.6361	2.3878
winter	0	-60	2.3207	2.2089	2.1587	2.1641	2.2250	2.3467	2.5374	2.8032	3.1428	3.5432	3.9774	4.4069	4.7859	5.0693	5.2202	5.2180	5.0621	4.7724	4.3857	3.9483	3.5074	3.1034	2.7643	2.5033
winter	0	-55	2.4187	2.2996	2.2464	2.2538	2.3217	2.4549	2.6599	2.9407	3.2932	3.7018	4.1382	4.5641	4.9354	5.2096	5.3527	5.3461	5.1897	4.9027	4.5195	4.0840	3.6415	3.2318	2.8833	2.6114
winter	0	-50	2.4919	2.3677	2.3124	2.3213	2.3944	2.5358	2.7511	3.0425	3.4040	3.8183	4.2561	4.6793	5.0450	5.3125	5.4500	5.4401	5.2834	4.9982	4.6176	4.1836	3.7401	3.3263	2.9714	2.6918
winter	0	-45	2.5380	2.4105	2.3540	2.3638	2.4401	2.5866	2.8084	3.1066	3.4741	3.8925	4.3321	4.7546	5.1178	5.3820	5.5165	5.5047	5.3475	5.0628	4.6828	4.2486	3.8036	3.3866	3.0272	2.7425
